nota,tgl,kode,tarif
JL23070004,2023-07-02,3,95000
JL23070004,2023-07-02,3,95000
JL23070005,2023-07-03,23,35000
JL23070006,2023-07-03,18,125000
JL23070007,2023-07-04,36,230000
JL23070007,2023-07-04,16,70000
JL23070007,2023-07-04,24,135000
JL23070007,2023-07-04,36,230000
JL23070007,2023-07-04,24,135000
JL23070007,2023-07-04,16,70000
JL23070008,2023-07-04,17,99000
JL23070008,2023-07-04,17,99000
JL23070009,2023-07-05,8,40000
JL23070009,2023-07-05,9,45000
JL23070009,2023-07-05,27,55000
JL23070010,2023-07-05,15,35000
JL23070010,2023-07-05,18,125000
JL23070010,2023-07-05,23,35000
JL23070011,2023-07-06,3,95000
JL23070012,2023-07-06,31,150000
JL23070013,2023-07-06,8,20000
JL23070013,2023-07-06,24,135000
JL23070013,2023-07-06,24,135000
JL23070013,2023-07-06,8,20000
JL23070014,2023-07-06,17,99000
JL23070015,2023-07-06,17,99000
JL23070016,2023-07-08,28,130000
JL23070016,2023-07-08,23,35000
JL23070017,2023-07-09,6,45000
JL23070018,2023-07-09,11,45000
JL23070018,2023-07-09,13,120000
JL23070019,2023-07-11,10,40000
JL23070019,2023-07-11,35,110000
JL23070020,2023-07-11,6,45000
JL23070021,2023-07-13,10,40000
JL23070021,2023-07-13,11,45000
JL23070022,2023-07-13,19,135000
JL23070022,2023-07-13,19,135000
JL23070023,2023-07-14,6,45000
JL23070024,2023-07-14,35,110000
JL23070025,2023-07-14,28,97500
JL23070025,2023-07-14,9,45000
JL23070026,2023-07-14,28,130000
JL23070026,2023-07-14,24,135000
JL23070027,2023-07-15,19,101250
JL23070028,2023-07-15,29,175000
JL23070029,2023-07-15,10,40000
JL23070029,2023-07-15,23,35000
JL23070030,2023-07-15,12,65000
JL23070031,2023-07-16,9,45000
JL23070032,2023-07-17,3,95000
JL23070032,2023-07-17,23,35000
JL23070033,2023-07-17,6,45000
JL23070034,2023-07-17,6,45000
JL23070035,2023-07-19,15,35000
JL23070035,2023-07-19,18,125000
JL23070036,2023-07-19,15,35000
JL23070036,2023-07-19,18,125000
JL23070037,2023-07-19,24,135000
JL23070038,2023-07-19,8,40000
JL23070038,2023-07-19,9,45000
JL23070039,2023-07-20,4,120000
JL23070040,2023-07-21,19,135000
JL23070040,2023-07-21,23,35000
JL23070040,2023-07-21,8,20000
JL23070041,2023-07-21,19,135000
JL23070041,2023-07-21,23,35000
JL23070041,2023-07-21,8,20000
JL23070042,2023-07-21,15,35000
JL23070042,2023-07-21,23,35000
JL23070042,2023-07-21,8,20000
JL23070043,2023-07-22,32,60000
JL23070043,2023-07-22,8,40000
JL23070043,2023-07-22,9,45000
JL23070044,2023-07-23,4,120000
JL23070044,2023-07-23,7,50000
JL23070045,2023-07-23,10,40000
JL23070045,2023-07-23,23,35000
JL23070046,2023-07-23,4,120000
JL23070046,2023-07-23,4,120000
JL23070047,2023-07-24,16,70000
JL23070048,2023-07-24,10,40000
JL23070049,2023-07-24,23,35000
JL23070050,2023-07-24,20,135000
JL23070051,2023-07-25,6,45000
JL23070052,2023-07-25,3,95000
JL23070052,2023-07-25,3,95000
JL23070053,2023-07-28,3,95000
JL23070054,2023-07-29,8,40000
JL23070054,2023-07-29,9,45000
JL23070055,2023-07-29,3,95000
JL23070056,2023-07-29,12,65000
JL23070057,2023-07-29,13,120000
JL23070058,2023-07-29,6,45000
JL23070059,2023-07-29,6,45000
JL23070060,2023-07-29,6,45000
JL23070061,2023-07-29,6,45000
JL23070062,2023-07-29,6,45000
JL23070063,2023-07-29,7,50000
JL23070064,2023-07-29,7,50000
JL23070065,2023-07-29,7,50000
JL23070066,2023-07-29,7,50000
JL23080001,2023-08-01,12,65000
JL23080001,2023-08-01,12,65000
JL23080002,2023-08-04,3,95000
JL23080002,2023-08-04,7,50000
JL23080003,2023-08-05,13,120000
JL23080004,2023-08-05,35,110000
JL23080005,2023-08-05,35,110000
JL23080006,2023-08-05,4,120000
JL23080007,2023-08-06,35,110000
JL23080007,2023-08-06,35,110000
JL23080008,2023-08-08,8,40000
JL23080008,2023-08-08,9,45000
JL23080008,2023-08-08,8,40000
JL23080008,2023-08-08,9,45000
JL23080009,2023-08-08,8,40000
JL23080009,2023-08-08,9,45000
JL23080010,2023-08-08,28,97500
JL23080011,2023-08-09,6,45000
JL23080012,2023-08-09,6,45000
JL23080013,2023-08-09,6,45000
JL23080014,2023-08-09,19,135000
JL23080014,2023-08-09,23,35000
JL23080015,2023-08-10,8,20000
JL23080015,2023-08-10,36,230000
JL23080016,2023-08-11,6,45000
JL23080017,2023-08-12,18,93750
JL23080018,2023-08-12,31,150000
JL23080019,2023-08-12,32,60000
JL23080020,2023-08-12,19,101250
JL23080021,2023-08-12,19,101250
JL23080022,2023-08-14,10,40000
JL23080022,2023-08-14,10,40000
JL23080022,2023-08-14,39,40000
JL23080022,2023-08-14,39,40000
JL23080022,2023-08-14,12,65000
JL23080023,2023-08-15,35,110000
JL23080024,2023-08-16,20,135000
JL23080024,2023-08-16,23,35000
JL23080025,2023-08-18,12,65000
JL23080025,2023-08-18,11,45000
JL23080026,2023-08-18,7,50000
JL23080026,2023-08-18,35,110000
JL23080027,2023-08-19,28,97500
JL23080028,2023-08-20,20,135000
JL23080029,2023-08-20,31,200000
JL23080029,2023-08-20,31,200000
JL23080030,2023-08-21,19,135000
JL23080031,2023-08-21,19,101250
JL23080032,2023-08-23,24,135000
JL23080033,2023-08-25,4,120000
JL23080033,2023-08-25,4,120000
JL23080034,2023-08-25,10,40000
JL23080035,2023-08-26,8,30000
JL23080036,2023-08-27,22,25000
JL23080036,2023-08-27,16,70000
JL23080036,2023-08-27,8,30000
JL23080037,2023-08-27,17,99000
JL23080038,2023-08-27,13,120000
JL23080038,2023-08-27,9,45000
JL23080038,2023-08-27,31,200000
JL23080038,2023-08-27,32,60000
JL23080038,2023-08-27,23,35000
JL23080039,2023-08-29,3,95000
JL23080039,2023-08-29,23,35000
JL23080040,2023-08-30,8,40000
JL23080040,2023-08-30,9,45000
JL23080041,2023-08-31,35,110000
JL23080042,2023-08-31,35,110000
JL23080043,2023-08-31,20,135000
JL23080044,2023-08-31,10,40000
JL23080044,2023-08-31,39,40000
JL23080045,2023-08-31,23,35000
JL23080046,2023-08-31,6,45000
JL23080047,2023-08-31,6,45000
JL23080048,2023-08-31,6,45000
JL23080049,2023-08-31,6,45000
JL23080050,2023-08-31,6,45000
JL23080051,2023-08-31,6,45000
JL23080052,2023-08-31,6,45000
JL23080053,2023-08-31,6,45000
JL23080054,2023-08-31,7,50000
JL23080055,2023-08-31,7,50000
JL23090001,2023-09-01,19,135000
JL23090002,2023-09-01,22,25000
JL23090003,2023-09-02,10,40000
JL23090004,2023-09-02,24,135000
JL23090005,2023-09-02,24,135000
JL23090006,2023-09-02,19,135000
JL23090007,2023-09-02,13,120000
JL23090008,2023-09-02,8,40000
JL23090008,2023-09-02,9,45000
JL23090009,2023-09-02,9,45000
JL23090008,2023-09-02,8,40000
JL23090008,2023-09-02,9,45000
JL23090009,2023-09-02,9,45000
JL23090009,2023-09-02,24,80000
JL23090010,2023-09-03,17,99000
JL23090011,2023-09-04,19,135000
JL23090012,2023-09-04,24,90000
JL23090013,2023-09-04,24,90000
JL23090014,2023-09-05,3,95000
JL23090015,2023-09-05,18,93750
JL23090016,2023-09-06,3,95000
JL23090017,2023-09-06,12,65000
JL23090017,2023-09-06,6,45000
JL23090018,2023-09-06,7,50000
JL23090018,2023-09-06,4,120000
JL23090019,2023-09-07,13,120000
JL23090020,2023-09-07,7,50000
JL23090020,2023-09-07,35,110000
JL23090021,2023-09-08,35,110000
JL23090022,2023-09-09,23,35000
JL23090023,2023-09-10,13,120000
JL23090023,2023-09-10,11,45000
JL23090024,2023-09-12,23,35000
JL23090025,2023-09-12,31,150000
JL23090026,2023-09-14,9,45000
JL23090026,2023-09-14,11,45000
JL23090027,2023-09-15,18,125000
JL23090027,2023-09-15,3,95000
JL23090028,2023-09-17,27,55000
JL23090029,2023-09-17,4,120000
JL23090030,2023-09-20,9,45000
JL23090031,2023-09-22,12,65000
JL23090032,2023-09-23,18,125000
JL23090033,2023-09-23,10,40000
JL23090033,2023-09-23,12,65000
JL23090034,2023-09-24,18,125000
JL23090034,2023-09-24,19,135000
JL23090034,2023-09-24,20,135000
JL23090034,2023-09-24,18,125000
JL23090034,2023-09-24,18,125000
JL23090034,2023-09-24,20,135000
JL23090035,2023-09-24,17,99000
JL23090036,2023-09-26,23,35000
JL23090037,2023-09-27,22,25000
JL23090038,2023-09-27,3,95000
JL23090039,2023-09-28,19,135000
JL23090040,2023-09-28,35,110000
JL23090041,2023-09-29,12,65000
JL23090041,2023-09-29,13,120000
JL23090042,2023-09-30,35,110000
JL23090042,2023-09-30,35,110000
JL23090043,2023-09-30,35,110000
JL23090044,2023-09-30,23,35000
JL23090045,2023-09-30,6,45000
JL23090046,2023-09-30,6,45000
JL23090047,2023-09-30,7,50000
JL23090048,2023-09-30,7,50000
JL23090044,2023-09-30,22,25000
JL23090045,2023-09-30,6,45000
JL23090046,2023-09-30,6,45000
JL23100001,2023-10-01,41,35000
JL23100002,2023-10-01,10,40000
JL23100003,2023-10-01,18,125000
JL23100004,2023-10-03,8,40000
JL23100004,2023-10-03,23,35000
JL23100004,2023-10-03,32,60000
JL23100005,2023-10-04,24,80000
JL23100006,2023-10-04,18,125000
JL23100006,2023-10-04,4,120000
JL23100006,2023-10-04,7,50000
JL23100007,2023-10-05,12,65000
JL23100008,2023-10-06,19,101250
JL23100009,2023-10-06,10,40000
JL23100009,2023-10-06,39,40000
JL23100010,2023-10-06,21,112500
JL23100010,2023-10-06,3,95000
JL23100011,2023-10-07,23,35000
JL23100012,2023-10-07,4,120000
JL23100012,2023-10-07,23,35000
JL23100013,2023-10-07,31,150000
JL23100014,2023-10-09,6,45000
JL23100015,2023-10-09,6,45000
JL23100016,2023-10-09,3,95000
JL23100016,2023-10-09,10,40000
JL23100016,2023-10-09,23,35000
JL23100017,2023-10-09,3,95000
JL23100017,2023-10-09,13,120000
JL23100017,2023-10-09,23,35000
JL23100018,2023-10-10,42,100000
JL23100018,2023-10-10,2,300000
JL23100018,2023-10-10,42,100000
JL23100018,2023-10-10,2,300000
JL23100018,2023-10-10,7,50000
JL23100019,2023-10-12,4,120000
JL23100019,2023-10-12,7,50000
JL23100019,2023-10-12,35,110000
JL23100020,2023-10-14,15,35000
JL23100020,2023-10-14,28,130000
JL23100021,2023-10-14,28,130000
JL23100022,2023-10-16,22,25000
JL23100023,2023-10-17,39,40000
JL23100023,2023-10-17,22,25000
JL23100023,2023-10-17,11,45000
JL23100024,2023-10-17,31,150000
JL23100024,2023-10-17,27,55000
JL23100025,2023-10-20,19,135000
JL23100026,2023-10-20,3,95000
JL23100027,2023-10-20,8,40000
JL23100027,2023-10-20,9,45000
JL23100028,2023-10-21,35,110000
JL23100029,2023-10-21,33,70000
JL23100029,2023-10-21,34,85000
JL23100030,2023-10-21,35,110000
JL23100031,2023-10-21,35,110000
JL23100032,2023-10-21,35,110000
JL23100033,2023-10-23,6,45000
JL23100034,2023-10-23,3,95000
JL23100034,2023-10-23,35,110000
JL23100035,2023-10-24,35,110000
JL23100036,2023-10-25,21,150000
JL23100037,2023-10-26,4,120000
JL23100038,2023-10-26,8,40000
JL23100038,2023-10-26,9,45000
JL23100039,2023-10-26,7,50000
JL23100039,2023-10-26,35,110000
JL23100040,2023-10-27,3,95000
JL23100041,2023-10-27,10,40000
JL23100041,2023-10-27,11,45000
JL23100042,2023-10-27,3,95000
JL23100042,2023-10-27,23,35000
JL23100043,2023-10-27,11,45000
JL23100043,2023-10-27,12,65000
JL23100044,2023-10-28,20,101250
JL23100045,2023-10-28,6,45000
JL23100046,2023-10-28,6,45000
JL23100047,2023-10-28,6,45000
JL23100048,2023-10-28,6,45000
JL23100049,2023-10-28,7,50000
JL23100050,2023-10-28,7,50000
JL23100051,2023-10-28,7,50000
JL23100052,2023-10-28,7,50000
JL23110001,2023-11-01,29,175000
JL23110002,2023-11-01,29,175000
JL23110003,2023-11-03,17,74250
JL23110004,2023-11-04,19,135000
JL23110005,2023-11-05,8,40000
JL23110005,2023-11-05,9,45000
JL23110005,2023-11-05,12,65000
JL23110005,2023-11-05,8,40000
JL23110005,2023-11-05,9,45000
JL23110005,2023-11-05,12,65000
JL23110006,2023-11-05,23,35000
JL23110006,2023-11-05,23,35000
JL23110007,2023-11-06,4,120000
JL23110008,2023-11-06,4,120000
JL23110008,2023-11-06,23,35000
JL23110009,2023-11-08,6,45000
JL23110010,2023-11-11,35,110000
JL23110011,2023-11-16,12,65000
JL23110012,2023-11-16,13,120000
JL23110013,2023-11-16,23,35000
JL23110014,2023-11-17,21,150000
JL23110015,2023-11-18,35,110000
JL23110016,2023-11-19,24,135000
JL23110017,2023-11-20,32,60000
JL23110018,2023-11-23,33,70000
JL23110018,2023-11-23,34,85000
JL23110018,2023-11-23,23,35000
JL23110019,2023-11-23,23,35000
JL23110020,2023-11-25,13,120000
JL23110021,2023-11-26,4,120000
JL23110021,2023-11-26,4,120000
JL23110021,2023-11-26,7,50000
JL23110022,2023-11-26,35,110000
JL23110023,2023-11-30,3,95000
JL23110024,2023-11-30,26,70000
JL23110025,2023-11-30,6,45000
JL23110026,2023-11-30,6,45000
JL23110027,2023-11-30,6,45000
JL23110028,2023-11-30,6,45000
JL23110029,2023-11-30,6,45000
JL23110030,2023-11-30,6,45000
JL23110031,2023-11-30,6,45000
JL23110032,2023-11-30,7,50000
JL23110033,2023-11-30,7,50000
JL23110024,2023-11-30,24,135000
JL23110025,2023-11-30,6,45000
JL23110026,2023-11-30,6,45000
JL23110027,2023-11-30,6,45000
JL23110028,2023-11-30,6,45000
JL23110029,2023-11-30,6,45000
JL23110030,2023-11-30,6,45000
JL23110031,2023-11-30,6,45000
JL23120001,2023-12-01,17,99000
JL23120002,2023-12-01,17,99000
JL23120003,2023-12-02,35,110000
JL23120004,2023-12-02,3,95000
JL23120005,2023-12-02,19,135000
JL23120006,2023-12-02,35,110000
JL23120007,2023-12-08,11,45000
JL23120007,2023-12-08,13,120000
JL23120008,2023-12-08,12,65000
JL23120008,2023-12-08,11,45000
